IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
2606:4700:a8:863c:5be:b1ca:b4a2:9cfd,4,4,0.00,187.99,3.99
2606:4700:a8:42:b034:a0e8:a83:8ac0,4,4,0.00,186.60,3.35
2a06:98c1:3121:ed44:1d7:d4a0:1ddf:623e,4,4,0.00,189.70,2.66
2606:4700:a8:0:6a:56c8:50fc:abb5,4,4,0.00,185.69,2.47
2606:4700:a8:863c:82b0:8f2a:a2de:13d3,4,4,0.00,189.84,0.69
2606:4700:a8:86e9:f97b:8ee5:5636:db79,4,4,0.00,185.87,0.62
2606:4700:a8:42:c09b:d827:2e87:df4,4,4,0.00,189.00,0.43
2606:4700:a8:0:7266:8981:2d72:e96e,4,4,0.00,190.07,0.00
2606:4700:a8:8678:a0ee:b5c6:5d4b:feea,4,4,0.00,190.65,0.00
2606:4700:a8:8678:a0ee:b539:4212:42cc,4,4,0.00,190.65,0.00
